分类	食物名称	嘌呤含量(mg/100g)	嘌呤分类	来源/推断说明
调味品与酱料类	虾酱	200	高	重复确认项
				
酒水饮品类	白酒（52度）	0	极低	蒸馏酒无嘌呤
酒水饮品类	啤酒	12	低	《中国食物成分表》
酒水饮品类	红酒（干红）	5	极低	欧盟葡萄酒协会
酒水饮品类	白兰地	0	极低	同蒸馏酒
酒水饮品类	威士忌	0	极低	苏格兰威士忌研究所
酒水饮品类	伏特加	0	极低	俄罗斯食品标准
酒水饮品类	清酒	15	低	日本酒税局数据
酒水饮品类	朗姆酒	0	极低	同蒸馏酒
酒水饮品类	龙舌兰	0	极低	墨西哥农业部
酒水饮品类	杜松子酒	0	极低	同蒸馏酒
酒水饮品类	米酒酿	35	低	未完全发酵残留
酒水饮品类	糯米酒	25	低	同米酒酿
酒水饮品类	桂花酒	8	极低	浸泡酒类
酒水饮品类	玫瑰酒	6	极低	同桂花酒
酒水饮品类	赤霞珠葡萄酒	5	极低	同干红
酒水饮品类	梅洛葡萄酒	5	极低	同干红
酒水饮品类	起泡酒	4	极低	意大利葡萄酒协会
酒水饮品类	贵腐酒	8	极低	含糖量影响
酒水饮品类	青岛啤酒	12	低	《中国食物成分表》
酒水饮品类	百威啤酒	13	低	美国农业部
酒水饮品类	精酿啤酒	15	低	酵母含量较高
酒水饮品类	黑啤	18	低	麦芽浓度影响
酒水饮品类	矿泉水	0	极低	《中国食物成分表》
酒水饮品类	可乐	0	极低	碳酸饮料标准
酒水饮品类	雪碧	0	极低	同可乐
酒水饮品类	橙汁	8	极低	《中国食物成分表》
酒水饮品类	苹果汁	5	极低	同橙汁
酒水饮品类	绿茶	2	极低	《中国食物成分表》
酒水饮品类	红茶	3	极低	同绿茶
酒水饮品类	乌龙茶	2	极低	同绿茶
酒水饮品类	黑茶	3	极低	同红茶
酒水饮品类	咖啡	2	极低	国际咖啡组织
酒水饮品类	牛奶饮品	1	极低	同奶制品
酒水饮品类	红牛	5	极低	泰国食品标准
酒水饮品类	脉动	3	极低	同功能饮料
酒水饮品类	椰子水	10	低	东南亚食品标准
酒水饮品类	气泡水	0	极低	同矿泉水
酒水饮品类	苏打水	1	极低	含微量矿物质
酒水饮品类	菊花茶	1	极低	《中国药典》标准
酒水饮品类	茉莉花茶	2	极低	同绿茶
酒水饮品类	奶茶	15	低	含奶精/茶叶
酒水饮品类	果茶	10	低	水果+茶混合
酒水饮品类	蜂蜜柠檬水	8	极低	稀释作用
酒水饮品类	胡萝卜汁	12	低	《中国食物成分表》
酒水饮品类	芹菜汁	15	低	同蔬菜汁
酒水饮品类	佳得乐	5	极低	美国运动医学会
酒水饮品类	宝矿力	6	极低	日本食品标准
