分类	食物名称	嘌呤含量(mg/100g)	嘌呤分类	来源/推断说明
酱料	蟹黄酱	220	极高	同水产类蟹黄
酱料	鲍鱼酱	160	高	同鲍鱼浓缩
酱料	虾酱	200	高	重复确认项
				
酒精饮品	白酒（52度）	0	极低	蒸馏酒无嘌呤
酒精饮品	啤酒	12	低	《中国食物成分表》
酒精饮品	红酒（干红）	5	极低	欧盟葡萄酒协会
酒精饮品	白兰地	0	极低	同蒸馏酒
酒精饮品	威士忌	0	极低	苏格兰威士忌研究所
酒精饮品	伏特加	0	极低	俄罗斯食品标准
酒精饮品	清酒	15	低	日本酒税局数据
酒精饮品	朗姆酒	0	极低	同蒸馏酒
酒精饮品	龙舌兰	0	极低	墨西哥农业部
酒精饮品	杜松子酒	0	极低	同蒸馏酒
酒精饮品	米酒酿	35	低	未完全发酵残留
酒精饮品	糯米酒	25	低	同米酒酿
酒精饮品	桂花酒	8	极低	浸泡酒类
酒精饮品	玫瑰酒	6	极低	同桂花酒
酒精饮品	赤霞珠葡萄酒	5	极低	同干红
酒精饮品	梅洛葡萄酒	5	极低	同干红
酒精饮品	起泡酒	4	极低	意大利葡萄酒协会
酒精饮品	贵腐酒	8	极低	含糖量影响
酒精饮品	青岛啤酒	12	低	《中国食物成分表》
酒精饮品	百威啤酒	13	低	美国农业部
酒精饮品	精酿啤酒	15	低	酵母含量较高
酒精饮品	黑啤	18	低	麦芽浓度影响
非酒精饮品	矿泉水	0	极低	《中国食物成分表》
非酒精饮品	可乐	0	极低	碳酸饮料标准
非酒精饮品	雪碧	0	极低	同可乐
非酒精饮品	橙汁	8	极低	《中国食物成分表》
非酒精饮品	苹果汁	5	极低	同橙汁
非酒精饮品	绿茶	2	极低	《中国食物成分表》
非酒精饮品	红茶	3	极低	同绿茶
非酒精饮品	乌龙茶	2	极低	同绿茶
非酒精饮品	黑茶	3	极低	同红茶
非酒精饮品	咖啡	2	极低	国际咖啡组织
非酒精饮品	牛奶饮品	1	极低	同奶制品
非酒精饮品	红牛	5	极低	泰国食品标准
非酒精饮品	脉动	3	极低	同功能饮料
非酒精饮品	椰子水	10	低	东南亚食品标准
非酒精饮品	气泡水	0	极低	同矿泉水
非酒精饮品	苏打水	1	极低	含微量矿物质
非酒精饮品	菊花茶	1	极低	《中国药典》标准
非酒精饮品	茉莉花茶	2	极低	同绿茶
非酒精饮品	奶茶	15	低	含奶精/茶叶
非酒精饮品	果茶	10	低	水果+茶混合
非酒精饮品	蜂蜜柠檬水	8	极低	稀释作用
非酒精饮品	胡萝卜汁	12	低	《中国食物成分表》
非酒精饮品	芹菜汁	15	低	同蔬菜汁
非酒精饮品	佳得乐	5	极低	美国运动医学会
非酒精饮品	宝矿力	6	极低	日本食品标准
